도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
50536,서울특별시,양천구,신정4동,신정동,978-5,은행정로7길,19,12통,삼성빌라,가,B01,서울특별시 양천구 신정4동 978-5,서울특별시 양천구 신정동 978-5번지,1992-01-18,다세대주택,서울특별시 양천구 신정동 978-5번지,2012-01-01,2012,247,0,3,POINT (126.857431068484 37.5220864859978),126.857431068484,37.5220864859978
50537,서울특별시,양천구,신정4동,신정동,978-5,은행정로7길,19,12통,삼성빌라,가,B02,서울특별시 양천구 신정4동 978-5,서울특별시 양천구 신정동 978-5번지,1992-01-18,다세대주택,서울특별시 양천구 신정동 978-5번지,2012-01-01,2012,247,0,3,POINT (126.857431068484 37.5220864859978),126.857431068484,37.5220864859978
50538,서울특별시,양천구,신정4동,신정동,978-6,은행정로7길,17,12통,삼성빌라,나,B01,서울특별시 양천구 신정4동 978-6,서울특별시 양천구 신정동 978-6번지,1992-04-27,다세대주택,서울특별시 양천구 신정동 978-6번지,2012-01-01,2012,246,0,3,POINT (126.857578087066 37.5220956641818),126.857578087066,37.5220956641818
50541,서울특별시,양천구,신정4동,신정동,979-20,은행정로7길,01월 16일,12통,\N,\N,\N,서울특별시 양천구 신정4동 979-20,서울특별시 양천구 신정동 979-20번지,1993-12-30,다가구주택,서울특별시 양천구 신정동 979-20번지,2012-01-01,2012,281,0,3,POINT (126.857668192525 37.5223030743759),126.857668192525,37.5223030743759
50544,서울특별시,양천구,신정4동,신정동,979-4,중앙로46길,Mar-42,12통,\N,\N,\N,서울특별시 양천구 신정4동 979-4,서울특별시 양천구 신정동 979-4번지,1990-06-27,단독주택,서울특별시 양천구 신정동 979-4번지,2012-01-01,2012,245,0,3,POINT (126.856921364952 37.5224012683716),126.856921364952,37.5224012683716
52138,서울특별시,도봉구,창2동,창동,607-24,덕릉로59라길,65,13통,현대아트빌,\N,B01,서울특별시 도봉구 창2동 607-24,서울특별시 도봉구 창동 607-24번지,2001-08-16,다세대주택,서울특별시 도봉구 창동 607-24번지,2013-01-01,2013,44,159.498,3,POINT (127.039702510014 37.6433494908937),127.039702510014,37.6433494908937
61407,서울특별시,강동구,암사1동,암사동,433-110,구천면로59길,22,30통,\N,\N,\N,서울특별시 강동구 암사1동 433-110,서울특별시 강동구 암사동 433-110번지,1993-09-01,다가구주택,서울특별시 강동구 암사동 433-110번지,2012-01-01,2012,399,0,3,POINT (127.137757617579 37.5509873300563),127.137757617579,37.5509873300563
61408,서울특별시,강동구,암사1동,암사동,433-110,구천면로59길,22,30통,\N,\N,\N,서울특별시 강동구 암사1동 433-110,서울특별시 강동구 암사동 433-110번지,1993-09-01,다가구주택,서울특별시 강동구 암사동 433-110번지,2012-01-01,2012,399,0,3,POINT (127.137757617579 37.5509873300563),127.137757617579,37.5509873300563
61409,서울특별시,강동구,암사1동,암사동,433-110,구천면로59길,22,30통,\N,\N,\N,서울특별시 강동구 암사1동 433-110,서울특별시 강동구 암사동 433-110번지,1993-09-01,다가구주택,서울특별시 강동구 암사동 433-110번지,2012-01-01,2012,399,0,3,POINT (127.137757617579 37.5509873300563),127.137757617579,37.5509873300563
61426,서울특별시,강동구,암사1동,암사동,433-119,구천면로59길,01월 18일,30통,\N,\N,B102,서울특별시 강동구 암사1동 433-119,서울특별시 강동구 암사동 433-119번지,1990-06-19,단독주택,서울특별시 강동구 암사동 433-119번지,2012-01-01,2012,399,0,3,POINT (127.137746469648 37.5510504038777),127.137746469648,37.5510504038777
